image,marque,n_stars,name,price,sku
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/116436/1.jpg?9335,TCL,17,TCL 55 QLED Google TV™ AIPQ™ HDR1000 nits™ TÜV™ IMAX™ Dolby™ FreeSync™ 144Hz 55C745,6366.0,: TC127EA0UFLP0NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/745836/1.jpg?2333,KRÖHLER,13,KRÖHLER Smart TV 55 Android UHD ,3596.0,: KR249EA1AAD2KNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/58/871093/1.jpg?2616,Visio,38,Visio TV 43 Smart Android Original ,2399.0,: VI281EA0Z1T85NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/612746/1.jpg?1985,BUY SAT,17,"BUY SAT TV 43"" Smart Android Original  13 ",2030.0,: BR612EA06BGUINAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/775236/1.jpg?9563,TCL,12,TCL 43 Android TV™ FHD 1080P ,2727.0,: TC127EA1AWFD0NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/67/675954/1.jpg?2709,Itel,59,"Itel Smart TV 43 Google TV™, FHD ",2292.0,: IT879EA14AJ3MNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/687634/1.jpg?5469,Samsung,37,Samsung 43 Smart TV Processeur Crystal 4K UHD ,3451.0,: SA024EA10Q6HENAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/79/532746/1.jpg?8444,Itel,33,"Itel 32"" TV LED Récepteur intégré et TNT Modéle  2024 / S3260 HDTV",1017.0,: IT879EA1BCNUYNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/987756/1.jpg?2554,XIAOMI,1,XIAOMI TV A Pro 43 2025 QLED (L43MA,3499.0,: XI737EL0JN1IKNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/23/739556/1.jpg?3525,IP STATION,13,IP STATION PRO 14 SMART TV BOX EXCLUSIVEMENT ANDROID 14 + Avec deux abonnements,399.0,: BR309EA0E4TK4NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/821725/1.jpg?6524,X96,16,X96 ORIGINAL X96Q TV Box Android 11 4K 2RAM/16GBROM  Wifi integre génération 2022,289.0,: X9185EA14Z36LNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/687634/1.jpg?5436,Samsung,18,Samsung 55 Smart TV Processeur Crystal 4K UHD ,4900.0,: SA024EA133WWINAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/72/283845/1.jpg?7855,X96,17,"X96 HD 4K Smart TV Box without Wall Mount, Android 11",285.0,: X9185EA171AKLNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/691436/1.jpg?6044,TCL,25,TCL 50 Google TV™ QLED™ 120Hz AIPQ™ HDR10+™ Dolby Vision™ AMD™ MEMC™ eARC™ 50C645,4516.0,: TC127EA1F0NXONAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/309656/1.jpg?3643,Echolink,39,Echolink 43 Smart TV Frameless FHD,1999.0,: EC801EL0TCVKONAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/80/808155/1.jpg?7313,Techmania,37,Techmania 40 Smart TV Android ,1879.0,: BR494EA1C3ZYZNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/38/775236/1.jpg?2863,TCL,15,TCL Smart TV 55 Google TV™ 4K UHD Google Assistant™ Bluetooth™ HDR10™ Dolby™ 55P635,4192.0,: TC127EA0N335WNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/777846/1.jpg?8794,Sonic,27,Sonic Smart TV 32 HD ,1242.0,: SO103EA1AWHDINAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/01/687634/1.jpg?5438,Samsung,31,Samsung 50 Smart TV Processeur Crystal 4K UHD ,3999.0,: SA024EA01066QNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/525093/1.jpg?0843,Visio,449,"Visio 32"" TV HD LED ",1039.0,: VI281EL1019GLNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/239656/1.jpg?0632,On,0,"On Smart TV 42"" Frameless UHD ",1881.0,: ON508EL07AC6GNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/488335/1.jpg?1910,Revolution,44,Revolution Smart TV 32 Android HD ,1100.0,: RE466EA19JERZNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/875656/1.jpg?0417,IP STATION,6,IP STATION PRO 14 SMART TV BOX 2024 EXCLUSIVEMENT ANDROID 14 + Avec deux abonnements,399.0,: BR309EA0Q4EO8NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/036394/1.jpg?5651,Samsung,34,Samsung 40 SMART TV FULL HD 40T5300 ,2515.0,: SA024EA0BC0KQNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/933356/1.jpg?2583,Haier,5,Haier TV LED 40 HD 720p Framless Design ,1683.0,: HA144EA168CJ0NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/38/440656/1.jpg?0524,Echolink,4,Echolink 32 Smart TV Frameless HD 720P ,1111.0,: EC801EA0MVX00NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/67/745836/1.jpg?7764,XIAOMI,53,XIAOMI MI TV Box S (2nd Gen) 4K 60FPS Quad,719.0,: XI737EA14C10SNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/775236/1.jpg?0680,TCL,132,TCL 32 Android TV™ FHD 1080P ,1492.0,: TC127EA0B6F2CNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/691436/1.jpg?1011,TCL,53,TCL Smart TV 43 Google TV™ 4K UHD Google Assistant™ Bluetooth™ HDR10™ Dolby™ 43P635,3031.0,: TC127EA1LKFL8NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/962625/1.jpg?5468,Samsung,322,Samsung 32 Smart TV HD 32T5300 ,1504.0,: SA024EA139T35NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/02/239656/1.jpg?0419,AZATECH,2,"AZATECH TV 32"" Frameless UHD ",999.0,: AZ510EL01C04ONAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/305756/1.jpg?0004,MORSAT,0,MORSAT TV 32 Pouces LED – Noir,979.0,: MO858EL1AMD3WNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/57/176756/1.jpg?1320,Samsung,8,"Samsung 32"" Smart Tv HD ",1399.0,: SA024EL0Y1HV8NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/305756/1.jpg?0040,MORSAT,1,MORSAT Smart TV 32 Pouces Android 14 – Noir,1149.0,: MO858EL1GKP5ONAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/239656/1.jpg?0786,AZATECH,9,"AZATECH Smart TV 43"" Frameless UHD ",2049.0,: AZ510EL0D8O88NAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/02/037846/1.jpg?8171,BUY SAT,312,BUY SAT 32'' SMART TV ,1059.0,: BR612EL017OEUNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/91/239656/1.jpg?2526,AZATECH,23,"AZATECH Smart TV 32"" Frameless HD ",1109.0,: AZ510EL1IBKYWNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/862625/1.jpg?2896,Samsung,50,Samsung 43 SMART TV FULL HD 43T5300 ,2828.0,: SA024EA0ESW4HNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/030735/1.jpg?7791,Techmania,28,Techmania Smart TV 32 Android HD ,1149.0,: BR494EA0Z58ENNAFAMZ
https://ma.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/818335/1.jpg?6082,Itel,46,Itel TV LED 32 HD 720p Framless Design Recepteur integré ,1010.0,: IT879EA14Z0KFNAFAMZ
